Accession,Latitude,Longitude,perc_cov,avg_depth
SRR12261223,43.099,-89.405,97.31774645098469,6.010117928498281
SRR12261225,43.099,-89.405,82.94221114922283,2.036645614703801
SRR12261226,43.099,-89.405,92.02816264498988,3.3756015935511194
SRR12261227,43.099,-89.405,94.3060274324712,4.077453891293101
SRR9302958,27.71,100.78,76.60029147472294,4.331807206060703
SRR9302959,24.48,102.88,96.24597071632809,6.031899558243929
SRR9302960,24.57,102.89,97.62094143433836,11.955792072710748
SRR9302961,25.9,100.15,98.75558213281246,13.155470793899086
SRR9302962,25.94,100.16,98.38737598144364,9.051601194478401
SRR8894380,24.541,102.895,98.23604498803302,25.63081725260437
SRR7054680,47.3,8.57,77.89575987813183,4.766458509307663
SRR7054681,47.3,8.57,99.72964345949076,14.427408083038447
SRR6787039,48.846361,14.487639000000001,98.23993674724017,14.465929486346795
SRR6754086,48.846361,14.487639000000001,94.49475516240152,5.153265830550687
SRR6754087,48.846361,14.487639000000001,69.84392458327301,2.0539535498383485
SRR6754088,48.846361,14.487639000000001,96.00671116791591,7.867927502994427
SRR6754092,48.846361,14.487639000000001,95.30823299606462,5.923422635003995
SRR6754093,48.846361,14.487639000000001,98.92474065477872,28.363192631163784
SRR6754094,48.846361,14.487639000000001,91.18318800855705,3.9558591657980955
SRR6754095,48.846361,14.487639000000001,89.88635645518005,3.3354076419901033
SRR6754096,48.846361,14.487639000000001,80.66917892331901,2.174419146610424
SRR6754097,48.846361,14.487639000000001,86.56877946483624,2.955109750246632
SRR6754098,48.846361,14.487639000000001,96.19034375300112,5.852089354380124
SRR6754100,48.846361,14.487639000000001,97.8430454175312,13.076286780883908
SRR6754101,48.846361,14.487639000000001,98.22572655865272,16.269580629838135
SRR6754102,48.846361,14.487639000000001,97.24818078066005,11.646568976779099
SRR6754103,48.846361,14.487639000000001,97.4216277098366,10.270131571520485
SRR6475632,47.3,8.57,99.31157559802534,10.724407023578786
SRR6475633,47.3,8.57,89.67350799799479,3.134978809836312
SRR6201526,41.77,-81.73,76.1312990262073,2.809711822338121
SRR6201002,43.099444,-89.404444,80.85255397063473,2.2249050270798816
SRR5338504,39.14,-0.65,94.20764331210155,4.2083989499874015
SRR5260500,43.1998,-86.5698,98.75732544635092,16.573439688234867
SRR5260499,43.1998,-86.5698,98.7153700080048,12.95178841430088
SRR5260498,43.1998,-86.5698,98.87903251759396,14.229655580694105
SRR5260448,43.1998,-86.5698,96.89378109649194,7.022106583766278
SRR5260447,43.1998,-86.5698,86.96243792097601,3.1991731442861893
SRR5260446,43.1998,-86.5698,94.87421472874544,4.690286725562025
SRR4198832,39.14,-0.6499,99.50754134706699,21.246336758575808
SRR4198666,39.14,-0.6499,99.37377067561243,12.098360782617029
SRR1173821,38.5355,-0.2663,99.03853870492138,9.336267311833492
SRR3184724,43.92,-122.81,83.11485793202081,2.7277238459504156
SRR3184721,43.92,-122.81,79.26699279983164,2.495701648222912
SRR3184718,43.92,-122.81,80.44022814093388,3.177156070253816
SRR3184739,41.93,-122.44,95.26521075912942,5.261798177085511
SRR3184738,41.93,-122.44,89.367499452317,3.1240473106043547
SRR3184736,41.97,-122.3,81.53171408042604,4.836741061942062
ERR4011038,59.8376,18.6203,95.41667375539507,3.520406280342389
ERR4011037,59.8376,18.6203,98.02734915064768,4.971263660529025
ERR4011035,59.8376,18.6203,98.20709569590991,5.175479820170712
ERR4011034,59.8376,18.6203,93.046060908757,2.9299088849503785
ERR4011033,59.8376,18.6203,99.45741024914615,10.132394174707661
ERR4011032,59.8376,18.6203,99.39374306361887,8.790965795630868
ERR4011031,59.8376,18.6203,97.92668656942145,4.576434938111552
ERR3761231,48.846361,14.487639000000001,88.41100094463923,3.8816991503568117
ERR3761230,48.846361,14.487639000000001,88.8858986039579,3.9991389338826235
ERR3761222,48.846361,14.487639000000001,85.19714005543848,3.0319232906338973
ERR3761221,48.846361,14.487639000000001,98.52758322323376,14.138923871983454
ERR3761220,48.846361,14.487639000000001,98.41204112572315,14.179180021132574
ERR3761219,48.846361,14.487639000000001,94.61673072722814,5.736900014634367
ERR3761218,48.846361,14.487639000000001,94.70613339973619,5.761898870652449
ERR3761217,48.846361,14.487639000000001,85.67982662114706,2.8083813709728007
ERR3761216,48.846361,14.487639000000001,84.58765871467403,2.7536594258094613
ERR3761215,48.846361,14.487639000000001,96.26674436982944,7.025635498039012
ERR3761214,48.846361,14.487639000000001,96.84579671940833,7.349872852818572
ERR3761213,48.846361,14.487639000000001,99.30648216491213,64.43743382026051
ERR3761212,48.846361,14.487639000000001,99.18799214644152,64.80109212816129
ERR3761211,48.846361,14.487639000000001,99.21332586098823,57.55293972440258
ERR3761210,48.846361,14.487639000000001,99.19469482963656,57.95358363282588
ERR3761209,48.846361,14.487639000000001,91.56867958140987,4.253417173494609
ERR3761206,48.846361,14.487639000000001,97.65123914836632,10.51222957085163
ERR3761204,48.846361,14.487639000000001,76.72629359441433,2.0313224529791487
ERR3761201,48.846361,14.487639000000001,80.66917892331901,2.174419146610424
ERR3761200,48.846361,14.487639000000001,86.56877946483624,2.955109750246632
ERR3761199,48.846361,14.487639000000001,96.19034375300112,5.852089354380124
ERR3761197,48.846361,14.487639000000001,97.8430454175312,13.076286780883908
ERR3761196,48.846361,14.487639000000001,98.22572655865272,16.269580629838135
ERR3761195,48.846361,14.487639000000001,97.24818078066005,11.646568976779099
ERR3761194,48.846361,14.487639000000001,97.4216277098366,10.270131571520485
DRR125123,35.2193,135.9957,79.04783484033284,2.135997002211642
