	SRR8894380	SRR4198666	ERR3761197	ERR4011035	SRR5260499	ERR3761220	SRR5260500	ERR3761196	ERR4011033	SRR6754098	SRR4198832	SRR6754103	ERR3761214	SRR6754086	ERR3761212	ERR3761218	ERR3761210	SRR6754092	SRR6754100	ERR3761219	ERR3761195	SRR6754093	ERR3761211	ERR4011032	SRR6754088	SRR3184739	ERR3761215	ERR3761206	ERR3761221	SRR5260498	SRR9302960	ERR3761209	ERR3761194	SRR6754102	SRR7054681	SRR12261223	ERR3761213	SRR9302959	SRR1173821	SRR9302962	ERR4011037	SRR6754101	SRR9302961	ERR3761199
SRR7054681	0.4715	0.1449	0.2125	0.0869	0.3197	0.1882	0.3079	0.1822	0.0822	0.1951	0.1404	0.2073	0.1678	0.1840	0.1544	0.1686	0.1531	0.1762	0.2136	0.1672	0.2446	0.1902	0.1578	0.0899	0.1828	0.1921	0.1651	0.1570	0.1897	0.3135	0.4537	0.1605	0.2020	0.2479	NA	0.3095	0.1505	0.4117	0.1364	0.2111	0.0873	0.1823	0.1999	0.1938
SRR12261223	0.5789	0.3042	0.4077	0.3682	0.0941	0.4027	0.0909	0.3879	0.3601	0.3999	0.2819	0.4057	0.3777	0.3873	0.3741	0.3795	0.3744	0.3831	0.4063	0.3793	0.4241	0.4012	0.3781	0.3643	0.3894	0.3298	0.3764	0.3771	0.3970	0.0929	0.5649	0.3786	0.4040	0.4274	0.3095	NA	0.3741	0.5364	0.3304	0.3989	0.3667	0.3861	0.3867	0.4004
ERR3761213	0.5021	0.2254	0.0837	0.1100	0.3831	0.0680	0.3730	0.0636	0.1037	0.0842	0.2234	0.0660	0.0510	0.0642	0.0333	0.0584	0.0334	0.0589	0.0860	0.0564	0.1058	0.0680	0.0341	0.1125	0.0707	0.2073	0.0526	0.0407	0.0653	0.3754	0.4838	0.0452	0.0658	0.1118	0.1505	0.3741	NA	0.4433	0.1972	0.2486	0.1098	0.0682	0.2373	0.0853
SRR9302959	0.0988	0.4240	0.4768	0.4221	0.5436	0.4655	0.5358	0.4582	0.4199	0.4701	0.4236	0.4726	0.4513	0.4595	0.4433	0.4499	0.4440	0.4542	0.4776	0.4503	0.4935	0.4661	0.4432	0.4183	0.4607	0.4657	0.4485	0.4461	0.4652	0.5389	0.1057	0.4466	0.4693	0.4956	0.4117	0.5364	0.4433	NA	0.4310	0.2313	0.4253	0.4573	0.2262	0.4687
SRR1173821	0.4926	0.0976	0.2597	0.1529	0.3397	0.2352	0.3277	0.2322	0.1493	0.2472	0.0988	0.2484	0.2167	0.2324	0.1987	0.2173	0.1988	0.2247	0.2599	0.2160	0.2956	0.2347	0.2014	0.1561	0.2331	0.2320	0.2125	0.2016	0.2332	0.3341	0.4710	0.2058	0.2464	0.3016	0.1364	0.3304	0.1972	0.4310	NA	0.2065	0.1547	0.2301	0.1997	0.2490
SRR9302962	0.2842	0.2077	0.3016	0.2158	0.4093	0.2823	0.3995	0.2758	0.2144	0.2932	0.2094	0.2936	0.2642	0.2754	0.2494	0.2629	0.2485	0.2684	0.3007	0.2637	0.3266	0.2827	0.2498	0.2162	0.2763	0.2831	0.2606	0.2516	0.2820	0.4054	0.2654	0.2532	0.2892	0.3291	0.2111	0.3989	0.2486	0.2313	0.2065	NA	0.2208	0.2757	0.0501	0.2925
ERR4011037	0.4880	0.1799	0.1749	0.0338	0.3799	0.1441	0.3665	0.1411	0.0338	0.1594	0.1766	0.1644	0.1343	0.1489	0.1119	0.1361	0.1119	0.1422	0.1776	0.1348	0.2105	0.1437	0.1168	0.0446	0.1507	0.1966	0.1309	0.1176	0.1467	0.3736	0.4697	0.1233	0.1598	0.2140	0.0873	0.3667	0.1098	0.4253	0.1547	0.2208	NA	0.1445	0.2065	0.1619
SRR6754101	0.5133	0.2525	0.0474	0.1391	0.3952	0.0798	0.3833	0.0184	0.1382	0.0457	0.2487	0.0683	0.0713	0.0755	0.0671	0.0709	0.0696	0.0720	0.0471	0.0698	0.0767	0.0819	0.0674	0.1485	0.0763	0.2420	0.0655	0.0672	0.0818	0.3859	0.4958	0.0746	0.0677	0.0822	0.1823	0.3861	0.0682	0.4573	0.2301	0.2757	0.1445	NA	0.2656	0.0480
SRR9302961	0.2747	0.1965	0.2925	0.2048	0.3978	0.2722	0.3873	0.2656	0.2022	0.2820	0.2013	0.2834	0.2542	0.2682	0.2384	0.2539	0.2390	0.2589	0.2914	0.2550	0.3159	0.2733	0.2387	0.2041	0.2680	0.2738	0.2507	0.2397	0.2724	0.3931	0.2568	0.2432	0.2790	0.3204	0.1999	0.3867	0.2373	0.2262	0.1997	0.0501	0.2065	0.2656	NA	0.2814
ERR3761199	0.5245	0.2648	0.0594	0.1591	0.4072	0.0936	0.3968	0.0458	0.1517	0.0114	0.2631	0.0821	0.0700	0.0740	0.0862	0.0742	0.0883	0.0729	0.0605	0.0725	0.1000	0.0950	0.0857	0.1630	0.0766	0.2655	0.0682	0.0901	0.0952	0.3988	0.5070	0.0962	0.0811	0.1053	0.1938	0.4004	0.0853	0.4687	0.2490	0.2925	0.1619	0.0480	0.2814	NA
