ID,Latitude,Longitude,Includes_organism
SRR14308733,41.8500471819944,-83.1943278216303,no
SRR14308734,41.7931672603972,-83.1326903256534,no
SRR14308735,41.7931672603972,-83.1326903256534,no
SRR14308736,41.7354287366086,-83.305168566954,no
SRR14308737,41.7354287366086,-83.305168566954,no
SRR14308738,41.7353919305416,-83.2984918812941,no
SRR14308740,41.743940917389,-83.1359709171918,no
SRR14308741,41.7038618714297,-83.2556191934697,no
SRR14308742,41.7038618714297,-83.2556191934697,no
SRR14308743,41.7368703958466,-83.3007964904881,no
SRR14308744,41.7368703958466,-83.3007964904881,no
SRR14308745,41.7356662663123,-83.2998509698307,no
SRR14308746,41.7356662663123,-83.2998509698307,no
SRR14308747,41.7427394681466,-83.1368766153367,no
SRR14308748,41.7427394681466,-83.1368766153367,no
SRR14308749,41.734946321248,-83.3002480999798,no
SRR14308750,41.7307472759595,-83.2973403578518,no
SRR14308751,41.734946321248,-83.3002480999798,no
SRR14308752,41.7345139358975,-83.3008948955596,no
SRR14308753,41.7345139358975,-83.3008948955596,no
SRR14308754,41.7734850688172,-83.3441027104068,no
SRR14308755,41.7734850688172,-83.3441027104068,no
SRR14308756,41.8338712604238,-83.3577684318652,no
SRR14308757,41.8338712604238,-83.3577684318652,no
SRR14308758,41.8343088900365,-83.2782487430434,no
SRR14307622,27.96,120.71,no
SRR14307623,27.95,120.7,no
SRR14307624,28.02,120.65,no
SRR14307625,28.01,120.65,no
SRR14307626,27.96,120.71,no
SRR14307627,27.95,120.7,no
SRR14307628,28.02,120.65,no
SRR14307629,28.01,120.65,no
SRR14288954,41.7987035209042,-83.3439342131621,no
SRR14288955,41.7987035209042,-83.3439342131621,no
SRR14288956,41.8037327182961,-83.3610608248073,no
SRR14288957,41.8037327182961,-83.3610608248073,no
SRR14288958,41.8238070415945,-83.3084699099299,no
SRR14288959,41.8238070415945,-83.3084699099299,no
SRR14288960,41.8338006012053,-83.1803171866043,no
SRR14288961,41.8338006012053,-83.1803171866043,no
SRR14288962,41.7353919305416,-83.2984918812941,no
SRR14288963,41.7307472759595,-83.2973403578518,no
SRR14288964,41.7307472759595,-83.2973403578518,no
SRR14288965,41.7344275476807,-83.2963171872718,no
SRR14288966,41.7344275476807,-83.2963171872718,no
SRR14240538,45.1366,-82.9833,no
SRR14240539,43.6,-86.916667,no
SRR14240540,43.5966,-78.801,no
SRR14240541,47.6,-86.81778,no
SRR14240542,42.51666,-79.8933,no
SRR14240543,42.1166,-81.25,no
SRR13490363,42.711528,-86.705694,no
SRR13490370,42.711528,-86.705694,no
SRR13490378,42.690806,-86.253556,no
SRR13434395,38.923239,-106.950876,no
SRR13434396,38.923239,-106.950876,no
SRR13434397,38.923239,-106.950876,no
SRR13434398,38.923239,-106.950876,no
SRR13394436,34.99562,-98.68895,no
SRR13225447,39.52018,116.2053,no
SRR13225448,39.52072,116.2114,no
SRR13225449,39.52015,116.2125,no
SRR13225450,39.52089,116.2238,no
SRR13225451,39.52023,116.2278,no
SRR13225452,39.52048,116.2017,no
SRR13225453,39.52048,116.2017,no
SRR13225454,39.52098,116.2023,no
SRR13225455,39.52018,116.2053,no
SRR13225456,39.52072,116.2114,no
SRR13225457,39.52015,116.2125,no
SRR13225458,39.52089,116.2238,no
SRR13225459,39.52023,116.2278,no
SRR13225460,39.52048,116.2017,no
SRR13225461,39.52098,116.2023,no
SRR13225462,39.52098,116.2023,no
SRR13225463,39.52018,116.2053,no
SRR13225464,39.52072,116.2114,no
SRR13225465,39.52015,116.2125,no
SRR13225466,39.52089,116.2238,no
SRR13225467,39.52023,116.2278,no
SRR13225468,39.52048,116.2017,no
SRR13225469,39.52098,116.2023,no
SRR13225470,39.52018,116.2053,no
SRR13225471,39.52072,116.2114,no
SRR13225472,39.52015,116.2125,no
SRR13225473,39.52072,116.2114,no
SRR13225474,39.52089,116.2238,no
SRR13225475,39.52023,116.2278,no
SRR13225476,39.52048,116.2017,no
SRR13225477,39.52098,116.2023,no
SRR13225478,39.52018,116.2053,no
SRR13225479,39.52072,116.2114,no
SRR13225480,39.52089,116.2238,no
SRR13225481,39.52023,116.2278,no
SRR13225482,39.52048,116.2017,no
SRR13225483,39.52098,116.2023,no
SRR13225484,39.52089,116.2238,no
SRR13225485,39.52023,116.2278,no
SRR13224034,41.7,-83.07,no
SRR13224037,41.7,-83.07,no
SRR13224039,41.9,-83.22,no
SRR13224040,41.9,-83.22,no
SRR13224041,41.91,-83.21,no
SRR13224042,41.91,-83.2,no
SRR13224043,41.91,-83.2,no
SRR13224044,41.91,-83.2,no
SRR13224045,41.91,-83.2,no
SRR13224046,41.82,-83.21,no
SRR13224047,41.82,-83.21,no
SRR13224048,41.7,-83.07,no
SRR13224049,41.79,-83.23,no
SRR13224050,41.79,-83.23,no
SRR13224051,41.71,-83.27,no
SRR13224052,41.76,-83.32,no
SRR13224053,41.76,-83.32,no
SRR13224054,41.76,-83.32,no
SRR13224055,41.76,-83.3,no
SRR13224056,41.76,-83.3,no
SRR13224057,41.8,-83.37,no
SRR13224058,41.8,-83.37,no
SRR13224059,41.7,-83.07,no
SRR13224060,41.8,-83.36,no
SRR13224061,41.8,-83.36,no
SRR13224062,41.83,-83.35,no
SRR13224063,41.83,-83.35,no
SRR13224064,41.83,-83.35,no
SRR13224065,41.83,-83.35,no
SRR13224066,41.84,-83.19,no
SRR13224067,41.84,-83.19,no
SRR13224068,41.84,-83.17,no
SRR13224069,41.84,-83.17,no
SRR13224070,41.66,-83.1,no
SRR13224071,41.81,-83.26,no
SRR13224072,41.81,-83.26,no
SRR13224073,41.81,-83.26,no
SRR13224074,41.81,-83.26,no
SRR13224075,41.77,-83.34,no
SRR13224076,41.77,-83.34,no
SRR13224077,41.77,-83.33,no
SRR13224078,41.77,-83.33,no
SRR13224079,41.83,-83.35,no
SRR13224080,41.83,-83.35,no
SRR13224081,41.66,-83.1,no
SRR13224082,41.83,-83.33,no
SRR13224083,41.83,-83.33,no
SRR13224084,41.84,-83.24,no
SRR13224085,41.84,-83.24,no
SRR13224086,41.84,-83.24,no
SRR13224087,41.84,-83.24,no
SRR13224088,41.84,-83.24,no
SRR13224089,41.84,-83.24,no
SRR13224090,41.85,-83.19,no
SRR13224091,41.85,-83.19,no
SRR13224092,41.66,-83.1,no
SRR13224093,41.84,-83.26,no
SRR13224094,41.84,-83.26,no
SRR13224095,41.84,-83.26,no
SRR13224096,41.84,-83.26,no
SRR13224097,41.84,-83.26,no
SRR13224098,41.84,-83.26,no
SRR13224099,41.78,-83.16,no
SRR13224100,41.78,-83.16,no
SRR13224101,41.78,-83.16,no
SRR13224102,41.78,-83.16,no
SRR13224103,41.66,-83.1,no
SRR13224104,41.78,-83.15,no
SRR13224105,41.78,-83.15,no
SRR13224106,41.75,-83.13,no
SRR13224107,41.75,-83.13,no
SRR13224108,41.75,-83.13,no
SRR13224109,41.75,-83.13,no
SRR13224110,41.75,-83.12,no
SRR13224111,41.75,-83.12,no
SRR13224112,41.7,-83.07,no
SRR13224113,41.7,-83.07,no
SRR13163197,40.747596,-73.805517,no
SRR13163198,40.747596,-73.805517,no
ERR3856789,47.0925,8.4891,no
ERR3856788,47.0925,8.4891,no
ERR3856787,47.0925,8.4891,no
SRR13020435,37.2656,-118.2713,no
SRR13020431,37.2656,-118.2713,no
SRR12874343,43.17,-79.53,no
SRR12874344,43.17,-79.51,no
SRR12874345,43.17,-79.51,no
SRR12874346,43.17,-79.53,no
SRR12874347,43.17,-79.51,no
SRR12874348,43.17,-79.51,no
SRR12687952,36.4428,-116.8278,no
SRR12687782,36.4428,-116.8278,no
SRR12687664,36.4265,-116.3098,no
SRR12687606,36.4265,-116.3098,no
SRR12687343,36.4202,-116.323,no
SRR12687342,37.0233,-117.3845,no
SRR12687326,36.4202,-116.323,no
SRR12687280,36.4015,-116.2738,no
SRR12687059,36.4015,-116.2738,no
SRR12686701,37.0233,-117.3845,no
SRR12685683,46.87681,-91.22521,no
SRR12685684,46.87153,-91.10558,yes
SRR12685685,46.89501,-91.09353,yes
SRR12685686,46.94913,-91.10256,yes
SRR12685687,46.9443,-90.99678,yes
SRR12676966,49.66,-93.72,yes
SRR12676967,49.66,-93.75,yes
SRR12676971,49.7,-93.73,yes
SRR12676968,49.74,-93.83,no
SRR12676969,49.69,-93.69,no
SRR12676970,49.69,-93.69,yes
SRR12676972,49.69,-93.69,yes
SRR12676973,49.69,-93.69,yes
SRR12676974,49.69,-93.69,yes
SRR12676975,49.69,-93.69,yes
SRR12486991,37.304056,127.618611,yes
SRR12486992,37.304056,127.618611,yes
SRR12486994,37.304056,127.618611,yes
SRR12486995,35.364169,127.146461,yes
SRR12486997,35.364169,127.146461,yes
SRR12486998,35.610764,126.850397,yes
SRR12487000,35.610764,126.850397,yes
SRR12487001,35.927978,128.311344,yes
SRR12487002,37.141433,127.6271,yes
SRR12487004,35.927978,128.311344,no
SRR12487005,36.408139,128.261722,yes
SRR12487007,36.408139,128.261722,yes
SRR12487008,35.880608,127.032675,no
SRR12487010,35.880608,127.032675,yes
SRR12487011,35.921444,127.065972,yes
SRR12487012,35.921444,127.065972,yes
SRR12487015,35.921444,127.065972,yes
SRR12487016,35.921444,127.065972,yes
SRR12487017,35.921444,127.065972,no
SRR12487019,35.921444,127.065972,yes
SRR12487020,35.921444,127.065972,yes
SRR12487021,35.921444,127.065972,yes
SRR12487023,35.921444,127.065972,yes
SRR12487024,37.141433,127.6271,yes
SRR12487025,36.461306,127.095889,yes
SRR12487027,36.461306,127.095889,yes
SRR12487028,36.766103,127.443383,yes
SRR12487030,36.766103,127.443383,yes
SRR12487031,36.766103,127.443383,yes
SRR12487033,36.766103,127.443383,no
SRR12487034,37.806611,126.787083,yes
SRR12487035,36.969389,127.894244,yes
SRR12487037,37.806611,126.787083,yes
SRR12487038,37.449944,127.658194,yes
SRR12487040,37.449944,127.658194,yes
SRR12487041,37.304056,127.618611,yes
SRR12487043,37.304056,127.618611,yes
SRR12487044,37.304056,127.618611,yes
SRR12487047,36.969389,127.894244,yes
SRR12274735,26.61275,80.275278,no
SRR12274736,29.95625,78.170889,no
SRR12274737,30.1265,78.35375,no
SRR12274738,30.145417,78.597667,no
SRR12274739,30.145389,78.598917,no
SRR12274740,30.147,78.597611,no
SRR12274741,11.362944,77.742028,no
SRR12274742,12.426333,76.574611,no
SRR12274743,22.247705,76.147048,no
SRR12274744,22.763104,77.717161,no
SRR12274745,23.12259,79.818541,no
SRR12274746,22.700833,81.705278,no
SRR12274747,22.674661,81.758025,no
SRR12274748,26.885083,80.900783,no
SRR12274749,27.188717,80.80215,no
SRR12274750,27.350233,80.46025,no
SRR12274751,26.420361,80.422722,no
SRR12274752,12.384389,75.53325,no
SRR12274753,12.385389,75.491,no
SRR12261223,43.099,-89.405,yes
SRR12261224,43.099,-89.405,no
SRR12261225,43.099,-89.405,yes
SRR12261226,43.099,-89.405,yes
SRR12261227,43.099,-89.405,yes
SRR12053438,51.97525,105.34712,no
SRR12053439,51.97525,105.34712,no
SRR12053440,51.780108,104.91655,no
SRR12053441,51.780108,104.91655,no
SRR12053442,51.780108,104.91655,no
SRR12053443,51.780108,104.91655,no
SRR12042536,49.69,-93.69,no
SRR12042537,49.69,-93.69,no
SRR11430612,47.744011,9.15217,no
SRR11430613,44.0228,1.459364,no
SRR11430614,42.775875,-0.261183,no
SRR11430615,41.497325,0.512892,no
SRR11430616,37.048097,-3.368361,no
SRR11430617,46.965417,10.9448,no
SRR10688474,49.13,16.63,no
SRR10599098,31.0,117.0,no
SRR10599099,31.0,117.0,no
SRR10599100,31.0,117.0,no
SRR10599101,31.0,117.0,no
SRR10599102,31.0,117.0,no
SRR10599103,31.0,117.0,no
SRR10599104,31.0,117.0,no
SRR10599105,31.0,117.0,no
SRR10599106,31.0,117.0,no
SRR10599107,31.0,117.0,no
SRR10599108,31.0,117.0,no
SRR10599109,31.0,117.0,no
SRR10599110,31.0,117.0,no
SRR10599111,31.0,117.0,no
SRR10599112,31.0,117.0,no
SRR10599113,31.0,117.0,no
SRR10492803,36.78,100.0,no
SRR10132616,40.02722,116.3567,yes
SRR10132617,40.02694,116.3528,yes
SRR10132618,40.02639,116.3489,yes
SRR10132619,40.02778,116.3606,no
SRR10132620,40.02972,116.3722,no
SRR10132621,40.02917,116.3681,no
SRR10132623,40.02833,116.3642,no
SRR10132624,40.02722,116.3567,no
SRR10132625,40.02694,116.3528,no
SRR10132626,40.02639,116.3489,no
SRR10132627,40.02778,116.3606,yes
SRR10132628,40.02972,116.3722,no
SRR10132629,40.02917,116.3681,no
SRR10132630,40.02833,116.3642,no
SRR10132631,40.02722,116.3567,no
SRR10132632,40.02694,116.3528,no
SRR10132635,40.02639,116.3489,no
SRR10132636,40.02778,116.3606,no
SRR10132637,40.02972,116.3722,no
SRR10132638,40.02917,116.3681,no
SRR10132639,40.02833,116.3642,no
SRR10132640,40.02722,116.3567,yes
SRR10132641,40.02694,116.3528,yes
SRR10132642,40.02639,116.3489,no
SRR10132643,40.02778,116.3606,no
SRR10132644,40.02972,116.3722,no
SRR10132646,40.02917,116.3681,no
SRR10132647,40.02833,116.3642,no
SRR10132648,40.02722,116.3567,yes
SRR10132649,40.02694,116.3528,no
SRR10132650,40.02778,116.3606,no
SRR10132651,40.02917,116.3681,no
SRR10132652,40.02833,116.3642,no
SRR10132653,40.02722,116.3567,no
SRR10132654,40.02694,116.3528,no
SRR10132655,40.02917,116.3681,no
SRR10132657,40.02833,116.3642,no
SRR10132658,39.90611,116.5347,yes
SRR10132659,39.90667,116.5303,yes
SRR10132660,39.90722,116.5253,yes
SRR10132661,39.90528,116.54,no
SRR10132662,39.90639,116.5525,no
SRR10132663,39.90556,116.5478,yes
SRR10132664,39.90583,116.5436,yes
SRR10132665,39.90611,116.5347,no
SRR10132666,39.90667,116.5303,yes
SRR10132668,39.90722,116.5253,yes
SRR10132669,39.90528,116.54,no
SRR10132670,39.90639,116.5525,no
SRR10132671,39.90556,116.5478,no
SRR10132672,39.90583,116.5436,no
SRR10132673,39.90611,116.5347,yes
SRR10132674,39.90667,116.5303,no
SRR10132675,39.90722,116.5253,yes
SRR10132676,39.90528,116.54,no
SRR10132677,39.90639,116.5525,no
SRR10132679,39.90556,116.5478,no
SRR10132680,39.90583,116.5436,yes
SRR10132681,39.90611,116.5347,yes
SRR10132682,39.90667,116.5303,yes
SRR10132683,39.90722,116.5253,no
SRR10132684,39.90528,116.54,no
SRR10132685,39.90639,116.5525,yes
SRR10132686,39.90556,116.5478,yes
SRR10132687,39.90583,116.5436,yes
SRR10132688,39.90611,116.5347,yes
SRR10132690,39.90667,116.5303,yes
SRR10132691,39.90722,116.5253,yes
SRR10132692,39.90528,116.54,no
SRR10132693,39.90639,116.5525,no
SRR10132694,39.90556,116.5478,no
SRR10132695,39.90583,116.5436,yes
SRR10132696,39.90611,116.5347,no
SRR10132697,39.90667,116.5303,yes
SRR10132698,39.90528,116.54,no
SRR10132699,39.90556,116.5478,no
SRR10132701,39.90583,116.5436,no
SRR10131203,-20.0,-43.8,no
SRR10129838,40.37,115.79,no
SRR10129839,39.99,116.3,no
SRR10069935,-6.4021,-50.351,no
SRR10066347,81.0294,-81.644,no
SRR10066348,81.0294,-81.644,no
SRR10066349,81.0294,-81.644,no
SRR10066350,81.0294,-81.644,no
SRR10066351,81.0294,-81.644,no
SRR10066352,81.0294,-81.644,no
SRR10066353,81.0294,-81.644,no
SRR10066354,81.0294,-81.644,no
SRR10066355,81.0294,-81.644,no
SRR10036018,38.943062,-94.593613,yes
SRR10036019,38.903159,-94.578199,yes
SRR10036020,38.903159,-94.578199,yes
SRR10036021,39.119258,-94.476065,yes
SRR10036022,39.119258,-94.476065,yes
SRR10036023,39.119258,-94.476065,yes
SRR10036024,39.119097,-94.489562,yes
SRR10036025,38.939143,-94.561442,yes
SRR10036026,39.119097,-94.489562,yes
SRR10036027,39.119097,-94.489562,yes
SRR10036028,39.087112,-94.49946,yes
SRR10036029,39.087112,-94.49946,yes
SRR10036030,39.087112,-94.49946,yes
SRR10036031,39.017381,-94.521087,yes
SRR10036032,39.017381,-94.521087,yes
SRR10036033,39.017381,-94.521087,yes
SRR10036034,38.943062,-94.593613,yes
SRR10036035,38.943062,-94.593613,yes
SRR10036036,38.939143,-94.561442,yes
SRR10036037,38.932129,-94.61322,yes
SRR10036038,38.932129,-94.61322,yes
SRR10036039,38.932129,-94.61322,yes
SRR10036040,38.93085,-94.631627,yes
SRR10036041,38.93085,-94.631627,yes
SRR10036042,38.93085,-94.631627,yes
SRR10036043,38.922873,-94.625833,yes
SRR10036044,38.922873,-94.625833,yes
SRR10036045,38.922873,-94.625833,yes
SRR10036046,38.956451,-94.560134,yes
SRR10036047,38.9002091,-94.6489961,yes
SRR10036048,38.9002091,-94.6489961,yes
SRR10036049,38.9002091,-94.6489961,yes
SRR10036050,38.942513,-94.737143,yes
SRR10036051,38.942513,-94.737143,yes
SRR10036052,38.942513,-94.737143,yes
SRR10036053,38.900837,-94.739828,yes
SRR10036054,38.900837,-94.739828,yes
SRR10036055,38.900837,-94.739828,yes
SRR10036056,38.93288,-94.69652,yes
SRR10036057,38.956451,-94.560134,yes
SRR10036058,38.93288,-94.69652,yes
SRR10036059,38.93288,-94.69652,yes
SRR10036060,38.92075,-94.699529,yes
SRR10036061,38.92075,-94.699529,yes
SRR10036062,38.92075,-94.699529,no
SRR10036063,38.925804,-94.697055,yes
SRR10036064,38.925804,-94.697055,yes
SRR10036065,38.925804,-94.697055,no
SRR10036066,38.857594,-94.7882,no
SRR10036067,38.857594,-94.7882,no
SRR10036068,38.956451,-94.560134,yes
SRR10036069,38.857594,-94.7882,no
SRR10036070,38.818864,-94.778833,yes
SRR10036071,38.818864,-94.778833,no
SRR10036072,38.818864,-94.778833,yes
SRR10036073,38.813318,-94.670967,yes
SRR10036074,38.813318,-94.670967,yes
SRR10036075,38.813318,-94.670967,yes
SRR10036076,38.842448,-94.612554,yes
SRR10036077,38.842448,-94.612554,yes
SRR10036078,38.842448,-94.612554,yes
SRR10036079,38.952958,-94.563948,yes
SRR10036080,38.854923,-94.615853,yes
SRR10036081,38.854923,-94.615853,yes
SRR10036082,38.854923,-94.615853,yes
SRR10036083,38.891412,-94.583257,yes
SRR10036084,38.891412,-94.583257,no
SRR10036085,38.891412,-94.583257,yes
SRR10036086,38.939143,-94.561442,yes
SRR10036087,38.939143,-94.561442,yes
SRR10036088,38.939143,-94.561442,yes
SRR10036089,38.903159,-94.578199,yes
SRR10036090,38.952958,-94.563948,yes
SRR10036091,38.952958,-94.563948,yes
SRR9658105,42.39651,-85.40936,no
SRR9658106,42.39651,-85.40936,no
SRR9658107,42.76324,-84.405,no
SRR9658109,42.39651,-85.40936,no
SRR9658110,42.39651,-85.40936,no
SRR9658111,42.39651,-85.40936,no
SRR9658112,42.39651,-85.40936,no
SRR9658113,42.41803,-85.44348,no
SRR9658114,42.41803,-85.44348,no
SRR9658115,42.41803,-85.44348,no
SRR9658116,42.35212,-85.38545,no
SRR9658117,42.76324,-84.405,no
SRR9658118,42.76324,-84.405,no
SRR9658119,42.76324,-84.405,no
SRR9658120,42.76324,-84.405,no
SRR9658121,42.39651,-85.40936,no
SRR9658122,42.39757,-85.38536,no
SRR9658123,42.39757,-85.38536,no
SRR9658124,42.39757,-85.38536,no
SRR9658125,42.39757,-85.38536,no
SRR9658126,42.39757,-85.38536,no
SRR9658127,42.39757,-85.38536,no
SRR9658128,42.56518,-85.61352,no
SRR9658129,42.39757,-85.38536,no
SRR9658130,42.35212,-85.38545,no
SRR9658131,42.56518,-85.61352,no
SRR9658132,42.39651,-85.40936,no
SRR9658133,42.68079,-84.4871,no
SRR9658134,42.68079,-84.4871,no
SRR9658135,42.17991,-85.11844,no
SRR9658136,42.67928,-84.4849,no
SRR9658137,42.52346,-83.666,no
SRR9658138,42.52346,-83.666,no
SRR9658139,42.68079,-84.4871,no
SRR9658140,42.68059,-84.4831,no
SRR9658141,42.52346,-83.666,no
SRR9658142,42.52346,-83.666,no
SRR9658143,42.39651,-85.40936,no
SRR9658144,42.39651,-85.40936,no
SRR9658145,42.20619,-83.5666,no
SRR9658146,42.42421,-85.85677,no
SRR9658147,42.42421,-85.85677,no
SRR9658148,42.42421,-85.85677,no
SRR9658149,42.64643,-85.50279,no
SRR9658150,42.39651,-85.40936,no
SRR9658151,42.39651,-85.40936,no
DRR151115,35.027207,135.689977,no
DRR151114,35.027207,135.689976,no
SRR9302958,27.71,100.78,yes
SRR9302959,24.48,102.88,yes
SRR9302960,24.57,102.89,yes
SRR9302961,25.9,100.15,yes
SRR9302962,25.94,100.16,yes
SRR9302963,24.36,102.79,yes
SRR9302964,24.38,102.78,no
SRR9302965,24.95,102.66,yes
SRR9302966,24.96,102.65,no
SRR9289416,41.6642,-87.5375,no
SRR9289418,41.6656,-87.5497,yes
SRR9214414,48.616034,14.676594,yes
SRR9214415,48.616034,14.676594,yes
SRR9199084,48.616034,14.676594,yes
SRR9214417,48.616034,14.676594,yes
SRR9214418,48.616034,14.676594,yes
SRR9061263,39.11049,117.7274,no
SRR9061264,39.27763,117.5778,yes
SRR9061265,39.38984,117.5044,yes
SRR9061266,40.1023,116.7319,no
SRR9061267,40.04623,116.7651,no
SRR9061268,39.97084,116.7628,yes
SRR9061269,39.90758,116.7813,yes
