ID,coordinates
SRR14332053,41.7376466850762 N 83.3029670351321 W
SRR14332054,41.7376466850762 N 83.3029670351321 W
SRR14332055,41.7752798990724 N 83.3431548762416 W
SRR14309022,41.740570017061 N 83.3054293134153 W
SRR14308729,41.8343088900365 N 83.2782487430434 W
SRR14308730,41.8500471819944 N 83.1943278216303 W
SRR14308731,41.7307472759595 N 83.2973403578518 W
SRR14308732,41.740570017061 N 83.3054293134153 W
SRR14308733,41.8500471819944 N 83.1943278216303 W
SRR14308734,41.7931672603972 N 83.1326903256534 W
SRR14308735,41.7931672603972 N 83.1326903256534 W
SRR14308736,41.7354287366086 N 83.305168566954 W
SRR14308737,41.7354287366086 N 83.305168566954 W
SRR14308738,41.7353919305416 N 83.2984918812941 W
SRR14308740,41.743940917389 N 83.1359709171918 W
SRR14308741,41.7038618714297 N 83.2556191934697 W
SRR14308742,41.7038618714297 N 83.2556191934697 W
SRR14308743,41.7368703958466 N 83.3007964904881 W
SRR14308744,41.7368703958466 N 83.3007964904881 W
SRR14308745,41.7356662663123 N 83.2998509698307 W
SRR14308746,41.7356662663123 N 83.2998509698307 W
SRR14308747,41.7427394681466 N 83.1368766153367 W
SRR14308748,41.7427394681466 N 83.1368766153367 W
SRR14308749,41.734946321248 N 83.3002480999798 W
SRR14308750,41.7307472759595 N 83.2973403578518 W
SRR14308751,41.734946321248 N 83.3002480999798 W
SRR14308752,41.7345139358975 N 83.3008948955596 W
SRR14308753,41.7345139358975 N 83.3008948955596 W
SRR14308754,41.7734850688172 N 83.3441027104068 W
SRR14308755,41.7734850688172 N 83.3441027104068 W
SRR14308756,41.8338712604238 N 83.3577684318652 W
SRR14308757,41.8338712604238 N 83.3577684318652 W
SRR14308758,41.8343088900365 N 83.2782487430434 W
SRR14307622,27.96 N 120.71 E
SRR14307623,27.95 N 120.70 E
SRR14307624,28.02 N 120.65 E
SRR14307625,28.01 N 120.65 E
SRR14307626,27.96 N 120.71 E
SRR14307627,27.95 N 120.70 E
SRR14307628,28.02 N 120.65 E
SRR14307629,28.01 N 120.65 E
SRR14288954,41.7987035209042 N 83.3439342131621 W
SRR14288955,41.7987035209042 N 83.3439342131621 W
SRR14288956,41.8037327182961 N 83.3610608248073 W
SRR14288957,41.8037327182961 N 83.3610608248073 W
SRR14288958,41.8238070415945 N 83.3084699099299 W
SRR14288959,41.8238070415945 N 83.3084699099299 W
SRR14288960,41.8338006012053 N 83.1803171866043 W
SRR14288961,41.8338006012053 N 83.1803171866043 W
SRR14288962,41.7353919305416 N 83.2984918812941 W
SRR14288963,41.7307472759595 N 83.2973403578518 W
SRR14288964,41.7307472759595 N 83.2973403578518 W
SRR14288965,41.7344275476807 N 83.2963171872718 W
SRR14288966,41.7344275476807 N 83.2963171872718 W
SRR14240538,45.1366 N 82.9833 W
SRR14240539,43.600 N 86.916667 W
SRR14240540,43.5966 N 78.801 W
SRR14240541,47.60 N 86.81778 W
SRR14240542,42.51666 N 79.8933 W
SRR14240543,42.1166 N 81.2500 W
SRR13490363,42.711528 N 86.705694 W
SRR13490370,42.711528 N 86.705694 W
SRR13490378,42.690806 N 86.253556 W
SRR13434395,38.923239 N 106.950876 W
SRR13434396,38.923239 N 106.950876 W
SRR13434397,38.923239 N 106.950876 W
SRR13434398,38.923239 N 106.950876 W
SRR13394436,34.99562 N 98.68895 W
SRR13225447,39.52018 N 116.2053 E
SRR13225448,39.52072 N 116.2114 E
SRR13225449,39.52015 N 116.2125 E
SRR13225450,39.52089 N 116.2238 E
SRR13225451,39.52023 N 116.2278 E
SRR13225452,39.52048 N 116.2017 E
SRR13225453,39.52048 N 116.2017 E
SRR13225454,39.52098 N 116.2023 E
SRR13225455,39.52018 N 116.2053 E
SRR13225456,39.52072 N 116.2114 E
SRR13225457,39.52015 N 116.2125 E
SRR13225458,39.52089 N 116.2238 E
SRR13225459,39.52023 N 116.2278 E
SRR13225460,39.52048 N 116.2017 E
SRR13225461,39.52098 N 116.2023 E
SRR13225462,39.52098 N 116.2023 E
SRR13225463,39.52018 N 116.2053 E
SRR13225464,39.52072 N 116.2114 E
SRR13225465,39.52015 N 116.2125 E
SRR13225466,39.52089 N 116.2238 E
SRR13225467,39.52023 N 116.2278 E
SRR13225468,39.52048 N 116.2017 E
SRR13225469,39.52098 N 116.2023 E
SRR13225470,39.52018 N 116.2053 E
SRR13225471,39.52072 N 116.2114 E
SRR13225472,39.52015 N 116.2125 E
SRR13225473,39.52072 N 116.2114 E
SRR13225474,39.52089 N 116.2238 E
SRR13225475,39.52023 N 116.2278 E
SRR13225476,39.52048 N 116.2017 E
SRR13225477,39.52098 N 116.2023 E
SRR13225478,39.52018 N 116.2053 E
SRR13225479,39.52072 N 116.2114 E
SRR13225480,39.52089 N 116.2238 E
SRR13225481,39.52023 N 116.2278 E
SRR13225482,39.52048 N 116.2017 E
SRR13225483,39.52098 N 116.2023 E
SRR13225484,39.52089 N 116.2238 E
SRR13225485,39.52023 N 116.2278 E
SRR13224034,41.70 N 83.07 W
SRR13224037,41.70 N 83.07 W
SRR13224039,41.90 N 83.22 W
SRR13224040,41.90 N 83.22 W
SRR13224041,41.91 N 83.21 W
SRR13224042,41.91 N 83.20 W
SRR13224043,41.91 N 83.20 W
SRR13224044,41.91 N 83.20 W
SRR13224045,41.91 N 83.20 W
SRR13224046,41.82 N 83.21 W
SRR13224047,41.82 N 83.21 W
SRR13224048,41.70 N 83.07 W
SRR13224049,41.79 N 83.23 W
SRR13224050,41.79 N 83.23 W
SRR13224051,41.71 N 83.27 W
SRR13224052,41.76 N 83.32 W
SRR13224053,41.76 N 83.32 W
SRR13224054,41.76 N 83.32 W
SRR13224055,41.76 N 83.30 W
SRR13224056,41.76 N 83.30 W
SRR13224057,41.80 N 83.37 W
SRR13224058,41.80 N 83.37 W
SRR13224059,41.70 N 83.07 W
SRR13224060,41.80 N 83.36 W
SRR13224061,41.80 N 83.36 W
SRR13224062,41.83 N 83.35 W
SRR13224063,41.83 N 83.35 W
SRR13224064,41.83 N 83.35 W
SRR13224065,41.83 N 83.35 W
SRR13224066,41.84 N 83.19 W
SRR13224067,41.84 N 83.19 W
SRR13224068,41.84 N 83.17 W
SRR13224069,41.84 N 83.17 W
SRR13224070,41.66 N 83.10 W
SRR13224071,41.81 N 83.26 W
SRR13224072,41.81 N 83.26 W
SRR13224073,41.81 N 83.26 W
SRR13224074,41.81 N 83.26 W
SRR13224075,41.77 N 83.34 W
SRR13224076,41.77 N 83.34 W
SRR13224077,41.77 N 83.33 W
SRR13224078,41.77 N 83.33 W
SRR13224079,41.83 N 83.35 W
SRR13224080,41.83 N 83.35 W
SRR13224081,41.66 N 83.10 W
SRR13224082,41.83 N 83.33 W
SRR13224083,41.83 N 83.33 W
SRR13224084,41.84 N 83.24 W
SRR13224085,41.84 N 83.24 W
SRR13224086,41.84 N 83.24 W
SRR13224087,41.84 N 83.24 W
SRR13224088,41.84 N 83.24 W
SRR13224089,41.84 N 83.24 W
SRR13224090,41.85 N 83.19 W
SRR13224091,41.85 N 83.19 W
SRR13224092,41.66 N 83.10 W
SRR13224093,41.84 N 83.26 W
SRR13224094,41.84 N 83.26 W
SRR13224095,41.84 N 83.26 W
SRR13224096,41.84 N 83.26 W
SRR13224097,41.84 N 83.26 W
SRR13224098,41.84 N 83.26 W
SRR13224099,41.78 N 83.16 W
SRR13224100,41.78 N 83.16 W
SRR13224101,41.78 N 83.16 W
SRR13224102,41.78 N 83.16 W
SRR13224103,41.66 N 83.10 W
SRR13224104,41.78 N 83.15 W
SRR13224105,41.78 N 83.15 W
SRR13224106,41.75 N 83.13 W
SRR13224107,41.75 N 83.13 W
SRR13224108,41.75 N 83.13 W
SRR13224109,41.75 N 83.13 W
SRR13224110,41.75 N 83.12 W
SRR13224111,41.75 N 83.12 W
SRR13224112,41.70 N 83.07 W
SRR13224113,41.70 N 83.07 W
SRR13163197,40.747596 N 73.805517 W
SRR13163198,40.747596 N 73.805517 W
ERR3856789,47.0925 N 8.4891 E
ERR3856788,47.0925 N 8.4891 E
ERR3856787,47.0925 N 8.4891 E
SRR13020435,37.2656 N 118.2713 W
SRR13020431,37.2656 N 118.2713 W
SRR12874343,43.17 N 79.53 W
SRR12874344,43.17 N 79.51 W
SRR12874345,43.17 N 79.51 W
SRR12874346,43.17 N 79.53 W
SRR12874347,43.17 N 79.51 W
SRR12874348,43.17 N 79.51 W
SRR12687952,36.4428 N 116.8278 W
SRR12687782,36.4428 N 116.8278 W
SRR12687664,36.4265 N 116.3098 W
SRR12687606,36.4265 N 116.3098 W
SRR12687343,36.4202 N 116.323 W
SRR12687342,37.0233 N 117.3845 W
SRR12687326,36.4202 N 116.323 W
SRR12687280,36.4015 N 116.2738 W
SRR12687059,36.4015 N 116.2738 W
SRR12686701,37.0233 N 117.3845 W
SRR12685683,46.87681 N 91.22521 W
SRR12685684,46.87153 N 91.10558 W
SRR12685685,46.89501 N 91.09353 W
SRR12685686,46.94913 N 91.10256 W
SRR12685687,46.9443 N 90.99678 W
SRR12676966,49.66 N 93.72 W
SRR12676967,49.66 N 93.75 W
SRR12676971,49.70 N 93.73 W
SRR12676968,49.74 N 93.83 W
SRR12676969,49.69 N 93.69 W
SRR12676970,49.69 N 93.69 W
SRR12676972,49.69 N 93.69 W
SRR12676973,49.69 N 93.69 W
SRR12676974,49.69 N 93.69 W
SRR12676975,49.69 N 93.69 W
SRR12486991,37.304056 N 127.618611 E
SRR12486992,37.304056 N 127.618611 E
SRR12486994,37.304056 N 127.618611 E
SRR12486995,35.364169 N 127.146461 E
SRR12486997,35.364169 N 127.146461 E
SRR12486998,35.610764 N 126.850397 E
SRR12487000,35.610764 N 126.850397 E
SRR12487001,35.927978 N 128.311344 E
SRR12487002,37.141433 N 127.627100 E
SRR12487004,35.927978 N 128.311344 E
SRR12487005,36.408139 N 128.261722 E
SRR12487007,36.408139 N 128.261722 E
SRR12487008,35.880608 N 127.032675 E
SRR12487010,35.880608 N 127.032675 E
SRR12487011,35.921444 N 127.065972 E
SRR12487012,35.921444 N 127.065972 E
SRR12487015,35.921444 N 127.065972 E
SRR12487016,35.921444 N 127.065972 E
SRR12487017,35.921444 N 127.065972 E
SRR12487019,35.921444 N 127.065972 E
SRR12487020,35.921444 N 127.065972 E
SRR12487021,35.921444 N 127.065972 E
SRR12487023,35.921444 N 127.065972 E
SRR12487024,37.141433 N 127.627100 E
SRR12487025,36.461306 N 127.095889 E
SRR12487027,36.461306 N 127.095889 E
SRR12487028,36.766103 N 127.443383 E
SRR12487030,36.766103 N 127.443383 E
SRR12487031,36.766103 N 127.443383 E
SRR12487033,36.766103 N 127.443383 E
SRR12487034,37.806611 N 126.787083 E
