,Latitude,Longitude
0,46.87153,-91.10558
1,46.89501,-91.09353
2,46.94913,-91.10256
3,46.9443,-90.99678
4,49.66,-93.72
5,43.099,-89.405
6,43.099,-89.405
7,43.099,-89.405
8,43.099,-89.405
9,59.8376,18.6203
10,59.8376,18.6203
11,59.8376,18.6203
12,59.8376,18.6203
13,59.8376,18.6203
14,59.8376,18.6203
15,59.8376,18.6203
16,"48,616034","14,676594"
17,"48,616034","14,676594"
18,"48,616034","14,676594"
19,"48,616034","14,676594"
20,"48,616034","14,676594"
21,"48,616034","14,676594"
22,"48,616034","14,676594"
23,"48,616034","14,676594"
24,"48,846361","14,487639"
25,"48,846361","14,487639"
26,"48,846361","14,487639"
27,"48,846361","14,487639"
28,"48,846361","14,487639"
29,"48,846361","14,487639"
30,"48,846361","14,487639"
31,"48,846361","14,487639"
32,"48,846361","14,487639"
33,"48,846361","14,487639"
34,"48,846361","14,487639"
35,"48,846361","14,487639"
36,"48,846361","14,487639"
37,"48,846361","14,487639"
38,"48,846361","14,487639"
39,"48,846361","14,487639"
40,"48,846361","14,487639"
41,"48,846361","14,487639"
42,"48,846361","14,487639"
43,"48,846361","14,487639"
44,"48,846361","14,487639"
45,"48,846361","14,487639"
46,"48,846361","14,487639"
47,"48,846361","14,487639"
48,"48,846361","14,487639"
49,"48,846361","14,487639"
50,"48,846361","14,487639"
51,"48,846361","14,487639"
52,"48,846361","14,487639"
53,"48,846361","14,487639"
54,"48,846361","14,487639"
55,"48,846361","14,487639"
56,"48,846361","14,487639"
57,59.911491,10.757933
58,59.911491,10.757933
59,59.911491,10.757933
60,59.911491,10.757933
61,59.911491,10.757933
62,27.71,100.78
63,24.48,102.88
64,24.57,102.89
65,25.90,100.15
66,25.94,100.16
67,24.36,102.79
68,24.95,102.66
69,41.6656,-87.5497
70,48.616034,14.676594
71,48.616034,14.676594
72,48.616034,14.676594
73,48.616034,14.676594
74,48.616034,14.676594
75,24.541,102.895
76,24.541,102.895
77,24.541,102.895
78,24.541,102.895
79,24.541,102.895
80,51.787400,104.939100
81,51.787400,104.939100
82,49.77,-93.82
83,49.77,-93.82
84,49.69,-93.69
85,49.69,-93.69
86,49.69,-93.69
87,22.5121,88.3637
88,35.2193,135.9957
89,35.2193,135.9957
90,35.2193,135.9957
91,35.2193,135.9957
92,35.2193,135.9957
93,35.2193,135.9957
94,35.2193,135.9957
95,38.91,-76.96
96,38.91,-76.96
97,38.91,-76.96
98,34.261117,-83.950069
99,34.261117,-83.950069
100,31.66294,-85.062168
101,29.719072,-84.981177
102,31.66294,-85.062168
103,34.261117,-83.950069
104,32.933463,-85.19634
105,32.933463,-85.19634
106,34.261117,-83.950069
107,29.719072,-84.981177
108,32.664624,-85.087393
109,34.261117,-83.950069
110,32.664624,-85.087393
111,32.664624,-85.087393
112,31.66294,-85.062168
113,32.664624,-85.087393
114,34.261117,-83.950069
115,34.261117,-83.950069
116,31.66294,-85.062168
117,32.933463,-85.19634
118,31.66294,-85.062168
119,34.261117,-83.950069
120,34.261117,-83.950069
121,34.261117,-83.950069
122,30.743083,-84.858652
123,30.743083,-84.858652
124,30.743083,-84.858652
125,30.743083,-84.858652
126,32.933463,-85.19634
127,30.743083,-84.858652
128,32.664624,-85.087393
129,31.66294,-85.062168
130,-27.263585,152.936751
131,-27.263585,152.936751
132,-27.263585,152.936751
133,-27.263585,152.936751
134,58.778056,-111.338851
135,58.778056,-111.338851
136,58.778056,-111.338851
137,58.778056,-111.338851
138,58.778056,-111.338851
139,58.778056,-111.338851
140,58.778056,-111.338851
141,58.778056,-111.338851
142,58.778056,-111.338851
143,58.778056,-111.338851
144,58.778056,-111.338851
145,58.778056,-111.338851
146,58.778056,-111.338851
147,58.778056,-111.338851
148,58.778056,-111.338851
149,58.778056,-111.338851
150,33.11,120.26
151,33.11,120.26
152,33.11,120.26
153,33.11,120.26
154,33.11,120.26
155,33.11,120.26
156,33.11,120.26
157,33.11,120.26
158,33.11,120.26
159,33.11,120.26
160,33.11,120.26
161,33.11,120.26
162,33.11,120.26
163,47.30,8.57
164,47.30,8.57
165,31.09,121.21
166,22.47,108.21
167,29.21,111.49
168,37.45,112.39
169,29.17,111.53
