"Accession","Latitude","Longitude"
"SRR4029110","46.041","-89.686"
"SRR4029086","46.041","-89.686"
"SRR4029085","46.041","-89.686"
"SRR4029083","46.041","-89.686"
"SRR4029080","46.041","-89.686"
"SRR4029074","46.041","-89.686"
"SRR4029064","46.041","-89.686"
"SRR4029063","46.041","-89.686"
"SRR4018504","43.2052","-79.2648"
"SRR4018501","43.2047","-79.266"
"SRR4018498","42.8722","-79.4272"
"SRR4018493","42.8698","-79.3981"
"SRR4018491","42.8638","-79.3862"
"SRR1173821","38.5355","-0.2663"
"SRR3657441","61.208142","25.113609"
"SRR3657440","61.208142","25.113609"
"SRR3657439","61.208142","25.113609"
"SRR3657438","61.208142","25.113609"
"SRR3657437","61.208142","25.113609"
"SRR3657436","61.208142","25.113609"
"SRR3657435","61.208142","25.113609"
"SRR3657434","61.208142","25.113609"
"SRR3657433","61.208142","25.113609"
"SRR3657431","61.208142","25.113609"
"SRR3657430","61.208142","25.113609"
"SRR3657429","61.208142","25.113609"
"SRR3571355","34.15","-83.57"
"SRR3571354","34.15","-83.57"
"SRR3571025","34.15","-83.57"
"SRR3569810","34.15","-83.57"
"SRR3569624","34.15","-83.57"
"SRR3569349","34.15","-83.57"
"SRR3569300","34.15","-83.57"
"SRR3568955","34.15","-83.57"
"SRR3568916","34.15","-83.57"
"SRR3184724","43.92","-122.81"
"SRR3184721","43.92","-122.81"
"SRR3184722","43.92","-122.81"
"SRR3184720","43.92","-122.81"
"SRR3184719","43.92","-122.81"
"SRR3184718","43.92","-122.81"
"SRR3184714","43.92","-122.81"
"SRR3184713","43.92","-122.81"
"SRR3184712","43.92","-122.81"
"SRR3184711","43.92","-122.81"
"SRR3184710","43.92","-122.81"
"SRR3184709","43.92","-122.81"
"SRR3184708","43.92","-122.81"
"SRR3184707","43.92","-122.81"
"SRR3184744","41.93","-122.44"
"SRR3184743","41.93","-122.44"
"SRR3184741","41.93","-122.44"
"SRR3184740","41.93","-122.44"
"SRR3184739","41.93","-122.44"
"SRR3184738","41.93","-122.44"
"SRR3184736","41.97","-122.30"
"SRR3184732","29.96","-95.15"
"SRR3184706","29.96","-95.15"
"SRR3184705","29.96","-95.15"
"SRR3184704","29.96","-95.15"
"SRR2939624","48.0177052","-122.8023445"
"SRR2089224",49,-123
"SRR2089216",49,-123
"SRR2089207",49,-123
"SRR2089183",49,-123
"SRR2089172",49,-123
"SRR2089164",49,-123
"SRR2089143",49,-123
"SRR2089135",49,-123
"SRR947737","34.261117","-83.950069"
