"Accession","Latitude","Longitude"
"SRR6986817","37.45","112.39"
"SRR6986818","29.17","111.53"
"SRR6986819","38.28","106.13"
"SRR6986822","34.52","118.43"
"SRR6986824","34.55","118.41"
"SRR6986825","31.10","121.27"
"SRR6986826","36.04","120.19"
"SRR6787039","48.846361","14.487639"
"SRR6754086","48.846361","14.487639"
"SRR6754087","48.846361","14.487639"
"SRR6754088","48.846361","14.487639"
"SRR6754089","48.846361","14.487639"
"SRR6791932","48.846361","14.487639"
"SRR6754092","48.846361","14.487639"
"SRR6754093","48.846361","14.487639"
"SRR6754094","48.846361","14.487639"
"SRR6754095","48.846361","14.487639"
"SRR6754096","48.846361","14.487639"
"SRR6754097","48.846361","14.487639"
"SRR6754098","48.846361","14.487639"
"SRR6754099","48.846361","14.487639"
"SRR6754100","48.846361","14.487639"
"SRR6754101","48.846361","14.487639"
"SRR6754102","48.846361","14.487639"
"SRR6754103","48.846361","14.487639"
"SRR6475631","47.30","8.57"
"SRR6475632","47.30","8.57"
"SRR6475633","47.30","8.57"
"SRR6423777","1.40","103.81"
"SRR6423789","1.40","103.801"
"SRR6423791","1.41","103.731"
"SRR6423795","1.39","103.921"
"SRR6423802","1.42","103.72"
"SRR6423803","1.31","103.72"
"SRR6423804","1.38","103.92"
"SRR6423806","1.38","103.91"
"SRR6423807","1.39","103.92"
"SRR6423811","1.29","103.86"
"SRR6262235","24.82","118.16"
"SRR6262236","24.82","118.16"
"SRR6262237","24.82","118.16"
"SRR6262238","24.82","118.16"
"SRR6262239","24.82","118.16"
"SRR6262240","24.82","118.16"
"SRR6262241","24.82","118.16"
"SRR6262242","24.82","118.16"
"SRR6262243","24.82","118.16"
"SRR6262244","24.82","118.16"
"SRR6262245","24.82","118.16"
"SRR6262246","24.82","118.16"
"SRR6237650","42.43592","-71.14935"
"SRR6201526","41.77","-81.73"
"SRR6201524","41.77","-81.73"
"SRR6201002","43.099444","-89.404444"
"SRR6197918","43.099444","-89.404444"
"SRR5997543","1.29","103.86"
"SRR5997547","1.39","103.92"
"SRR5896114","51.7874","104.9391"
"SRR5896115","51.7874","104.9391"
"SRR5432762","46.238518","6.293545"
"SRR5338504","39.14","-0.65"
"SRR5260500","43.1998","-86.5698"
"SRR5260499","43.1998","-86.5698"
"SRR5260498","43.1998","-86.5698"
"SRR5260496","43.1998","-86.5698"
"SRR5260495","43.1998","-86.5698"
"SRR5260494","43.1998","-86.5698"
"SRR5260448","43.1998","-86.5698"
"SRR5260447","43.1998","-86.5698"
"SRR5260446","43.1998","-86.5698"
"SRR5211163","45.4091","-72.0994"
"SRR5211153","46.8319","-72.5"
"SRR2179956","44.99","-73.11"
"SRR2179955","44.99","-73.11"
"SRR2179954","44.99","-73.11"
"SRR4754863","47.070833","8.316333"
"SRR4754862","47.070833","8.316333"
"SRR4754860","47.070833","8.316333"
"SRR4754859","47.0925","8.4891"
"SRR4754858","47.0925","8.4891"
"ERR472739","42.6411","0.7784"
"ERR472738","42.6411","0.7784"
"SRR4198832","39.14","-0.6499"
"SRR4198666","39.14","-0.6499"
"SRR4029424","46.041","-89.686"
"SRR4029423","46.041","-89.686"
"SRR4029421","46.041","-89.686"
"SRR4029420","46.041","-89.686"
"SRR4029418","46.041","-89.686"
"SRR4029415","46.041","-89.686"
"SRR4029414","46.041","-89.686"
"SRR4029413","46.041","-89.686"
"SRR4029412","46.041","-89.686"
"SRR4029409","46.041","-89.686"
"SRR4029405","46.041","-89.686"
"SRR4029403","46.041","-89.686"
"SRR4029402","46.041","-89.686"
"SRR4029401","46.041","-89.686"
"SRR4029400","46.041","-89.686"
"SRR4029398","46.041","-89.686"
"SRR4029397","46.041","-89.686"
"SRR4029396","46.041","-89.686"
"SRR4029395","46.041","-89.686"
"SRR4029394","46.041","-89.686"
"SRR4029392","46.041","-89.686"
"SRR4029388","46.041","-89.686"
"SRR4029386","46.041","-89.686"
"SRR4029381","46.041","-89.686"
"SRR4029380","46.041","-89.686"
"SRR4029378","46.041","-89.686"
"SRR4029377","46.041","-89.686"
"SRR4029376","46.041","-89.686"
"SRR4029371","46.041","-89.686"
"SRR4029370","46.041","-89.686"
"SRR4029369","46.041","-89.686"
"SRR4029368","46.041","-89.686"
"SRR4029367","46.041","-89.686"
"SRR4029366","46.041","-89.686"
"SRR4029365","46.041","-89.686"
"SRR4029362","46.041","-89.686"
"SRR4029359","46.041","-89.686"
"SRR4029124","46.041","-89.686"
"SRR4029121","46.041","-89.686"
"SRR4029118","46.041","-89.686"
"SRR4029117","46.041","-89.686"
"SRR4029116","46.041","-89.686"
"SRR4029115","46.041","-89.686"
"SRR4029111","46.041","-89.686"
