ID,Latitude,Longitude,genomelen_bp,GC,mapped_bases,perc_cov,avg_depth
SRR2016482,44.90415,-93.190417,759370.0,45.49034061882877,0.0,0.0,0.0
SRR1169878,44.7488,-92.8057,759370.0,45.49034061882877,0.0,0.0,0.0
SRR1169859,47.3473,-95.1825,759370.0,45.49034061882877,0.0,0.0,0.0
SRR947737,34.261117,-83.950069,759370.0,45.49034061882877,0.0,0.0,0.0
SRR12685684,46.87153,-91.10558,759370.0,45.49034061882877,22633.0,0.9014074634236274,0.029804850825026
SRR12685685,46.89501,-91.09353,759370.0,45.49034061882877,17057.0,0.7811778756074114,0.0224619915996154
SRR12685686,46.94913,-91.10256,759370.0,45.49034061882877,25501.0,0.8742833824091023,0.0335818700580744
SRR12685687,46.9443,-90.99678,759370.0,45.49034061882877,37879.0,1.1169768534443023,0.0498820578650723
SRR12676966,49.66,-93.72,759370.0,45.49034061882877,5692.0,0.4145510783939317,0.0074956324650697
SRR12676967,49.66,-93.75,759370.0,45.49034061882877,25232.0,1.2785732675770705,0.0332275954383238
SRR12676971,49.7,-93.73,759370.0,45.49034061882877,8613.0,0.729690659230678,0.0113421007295521
SRR12676970,49.69,-93.69,759370.0,45.49034061882877,40196.0,1.4411855474933168,0.0529332959387386
SRR12676972,49.69,-93.69,759370.0,45.49034061882877,122311.0,1.972426306411894,0.161068970549271
SRR12676973,49.69,-93.69,759370.0,45.49034061882877,94988.0,2.102126759418992,0.1250878219813793
SRR12676974,49.69,-93.69,759370.0,45.49034061882877,7754.0,0.5690168932141118,0.0102110541172287
SRR12676975,49.69,-93.69,759370.0,45.49034061882877,18489.0,0.9622628963482888,0.0243479064988082
SRR12486991,37.304056,127.618611,759370.0,45.49034061882877,302.0,0.0397741621344008,0.000397741621344
SRR12486992,37.304056,127.618611,759370.0,45.49034061882877,602.0,0.0792826411367317,0.0007928264113673
SRR12486994,37.304056,127.618611,759370.0,45.49034061882877,151.0,0.0198811712340492,0.0001988117123404
SRR12486995,35.364169,127.146461,759370.0,45.49034061882877,24153.0,1.422627943163412,0.0318065853602328
SRR12486997,35.364169,127.146461,759370.0,45.49034061882877,43328.0,1.8043854435913984,0.0570578108576846
SRR12486998,35.610764,126.850397,759370.0,45.49034061882877,13134.0,0.8795439506432965,0.0172959724297773
SRR12487000,35.610764,126.850397,759370.0,45.49034061882877,9809.0,0.7910589961415383,0.0129174699882797
SRR12487001,35.927978,128.311344,759370.0,45.49034061882877,25650.0,1.2332717166862004,0.0337779857263257
SRR12487002,37.141433,127.6271,759370.0,45.49034061882877,301.0,0.0396328098292005,0.000396328098292
SRR12487005,36.408139,128.261722,759370.0,45.49034061882877,33358.0,1.388121843633538,0.0439285343574278
SRR12487007,36.408139,128.261722,759370.0,45.49034061882877,40005.0,1.5694435692745303,0.052681914608162
SRR12487010,35.880608,127.032675,759370.0,45.49034061882877,12072.0,0.847411186641558,0.0158974856644323
SRR12487011,35.921444,127.065972,759370.0,45.49034061882877,32903.0,1.6120063548731185,0.0433293549705677
